Number,	Size,	Chunk Offset,	File,	SHA-256 Hash

1,	2000 B,	1538688,	Pizigani_1367_Chart_1MB (1).jpg,	2d6fa76a7d4a953f18888629b6bfc37fb7219a3f3e9ebad58df5a1005985f7ca
2,	2000 B,	1540688,	Pizigani_1367_Chart_1MB (1).jpg,	4884f98fab045c5e69d64bea041be33a358399747f8f3d01cd257666739257a4
3,	2000 B,	1542688,	Pizigani_1367_Chart_1MB (1).jpg,	233f13f532219a1a0abe6c6ece8713d396c681f8649205746664b20da0a6818e
4,	2000 B,	1544688,	Pizigani_1367_Chart_1MB (1).jpg,	4ac4ee73ce0d1580038e64ef8966d023852b4d6d111a33c15e0bb8ba6b2840cc
5,	2000 B,	1546688,	Pizigani_1367_Chart_1MB (1).jpg,	398c6137d14215b1fbcdcc686e8f11202dae7710a1c9e3f9aa3f2d4665730d61
6,	2000 B,	1548688,	Pizigani_1367_Chart_1MB (1).jpg,	31f98e826eceded04d8ad6b9ec25c1a7c54b6b6eb01fbaeaa6a3f3e97c486f85
7,	2000 B,	1550688,	Pizigani_1367_Chart_1MB (1).jpg,	7a3081baa83fc85c22f475a9c153dec06a8081b59fa523277d14e9ad34d48358
8,	2000 B,	1552688,	Pizigani_1367_Chart_1MB (1).jpg,	0c141f933f4308ee19b379fe77d7446d3f2ee509c61177fa84cf35ef30a54400
9,	2000 B,	1554688,	Pizigani_1367_Chart_1MB (1).jpg,	3e18bd43c70cb2684e1fe5a75cd5018ee99b783bf456c91edca5f74d31323317
10,	2000 B,	1556688,	Pizigani_1367_Chart_1MB (1).jpg,	268f622637d04575f5904540610fbb8a2ef5f1841452aabae15db0285cac0d63
11,	2000 B,	1558688,	Pizigani_1367_Chart_1MB (1).jpg,	7aa27fea8813ab0b5b6866d8f87e26b03a298c5778eacdd3101b129ddc1de130
12,	2000 B,	1560688,	Pizigani_1367_Chart_1MB (1).jpg,	174ec1641d5d70e5d3c44418c613acd0765c3843807da120de4e656d5699e9b2
13,	2000 B,	1562688,	Pizigani_1367_Chart_1MB (1).jpg,	78f45aa4612e8f934f6455a00ffdffb01e4c06faa84bcc1252a9ba669b355194
14,	2000 B,	1564688,	Pizigani_1367_Chart_1MB (1).jpg,	7b4386d6bdfc5a3391ebd1fcc0e888075b11631436fce94084e70a9c9ad98ec8
15,	2000 B,	1566688,	Pizigani_1367_Chart_1MB (1).jpg,	16182758380dd59cc399b88a9d40af1a6338d5218a8b10b0acc985ff789f4611
16,	2000 B,	1568688,	Pizigani_1367_Chart_1MB (1).jpg,	fec89924affd663aa73def217493e17349c46cf1c1872af886a2547764020833
17,	2000 B,	1570688,	Pizigani_1367_Chart_1MB (1).jpg,	a0b6ed6fa582e20aa51e9fbd96a7da28df97b9ce49f19ab3ab501a453b60f0f0
18,	2000 B,	1572688,	Pizigani_1367_Chart_1MB (1).jpg,	159c802dcdbaa80469cada91553e2099be075add1e9a5311500eedcbfc93fb79
19,	2000 B,	1574688,	Pizigani_1367_Chart_1MB (1).jpg,	f705ed1000cb2dbb840de0f4893226740f1547f844d8105083e95d757f8ce57b
20,	2000 B,	1576688,	Pizigani_1367_Chart_1MB (1).jpg,	92798b270b1310545f82a08cb78241d448cf75fbfe665cd6fbdc5f2357887527
21,	2000 B,	1578688,	Pizigani_1367_Chart_1MB (1).jpg,	e50325334926a12a9367142482bfd4ab502c223af02d5ed34ac9ecfe24f3661e
22,	2000 B,	1580688,	Pizigani_1367_Chart_1MB (1).jpg,	42ba790db3356fe74791d693af86d80388666852c9db44c4afba55f85d421c7b
23,	2000 B,	1582688,	Pizigani_1367_Chart_1MB (1).jpg,	358484890b6b879730a25fec611dcc900dfa7ed25e1f1b16d888943bfc154c9d
24,	2000 B,	1584688,	Pizigani_1367_Chart_1MB (1).jpg,	e0f301869143ef85b2f8c27695afb96abedae6b3f733f215d78938053bfea7a4
25,	2000 B,	1586688,	Pizigani_1367_Chart_1MB (1).jpg,	9bc20f058b63da373fc3e8b5855ceea60c845dda9ca17b45d8ce1c7132de9335
26,	2000 B,	1588688,	Pizigani_1367_Chart_1MB (1).jpg,	a4e9a518088b0cc35a8f24f5f558eaa0750b8c36e35295db8b3e8d1a2071aa44
27,	2000 B,	1590688,	Pizigani_1367_Chart_1MB (1).jpg,	7d108f21ceb3b394cf8402701fa43291abf7052cf9afcef7470dd164f2432473
28,	2000 B,	1592688,	Pizigani_1367_Chart_1MB (1).jpg,	1f1d40268fcd7de6e461ddbcc7fde1c2e190cbe9068b04e0f07a2dcf8288d707
29,	2000 B,	1594688,	Pizigani_1367_Chart_1MB (1).jpg,	0bb4e47e2ed61c825f3d17f6fed14e7d55ef9f1a3e34b2cf27a5b9b0f785c4d3
30,	2000 B,	1596688,	Pizigani_1367_Chart_1MB (1).jpg,	e0600c3f8571e41b1c225f8abe71cab4ec12e5b908b66782e4c377ac817af02f
31,	2000 B,	1598688,	Pizigani_1367_Chart_1MB (1).jpg,	36df06e62cc6f870c1e214ab83372bd64bfec6ac5ccce03b690e8e8cd44b5512
32,	2000 B,	1600688,	Pizigani_1367_Chart_1MB (1).jpg,	f1f77997b4aec63c2a08f07fd47c90c4002e4676da606b6d1d4e43e1241b391b
33,	2000 B,	1602688,	Pizigani_1367_Chart_1MB (1).jpg,	01ac60b23064ac7c1d26b6fcf1efd7bb07bdc30a462ec66daae9e0b2859adc85
34,	2000 B,	1604688,	Pizigani_1367_Chart_1MB (1).jpg,	864aa419517c9518938b1d35e319331137b990ab6457361ee25844ba4fc4fc87
35,	2000 B,	1606688,	Pizigani_1367_Chart_1MB (1).jpg,	74962c78552b42284fcf5f1e0188df61ba8e698e32861b67218ed709d02e5221
36,	2000 B,	1608688,	Pizigani_1367_Chart_1MB (1).jpg,	ce66dcd42bbec837b2d5ee6fd635c0d0751868c5575a96128a9b60dad7dceca1
37,	2000 B,	1610688,	Pizigani_1367_Chart_1MB (1).jpg,	296751ce99fa1746e9aa2f1a4496145df74022f20630cae1d718d48f9ff42b0a
38,	2000 B,	1612688,	Pizigani_1367_Chart_1MB (1).jpg,	b39f141ca545f9ed103e1d90af42daa1b6233cbe694d69e55c0c90a5c4009388
39,	2000 B,	1614688,	Pizigani_1367_Chart_1MB (1).jpg,	6b8b2b89f46ad9723324ad4706217f0008162e20a61cc9af68455f559648f54e
